Store_ID,Vendor_ID,Product_SKU,Revenue,Units_Sold,Transaction_ID,Day,Month,Year,Quarter,StoreName,VendorName,Category,Product_Brand,Discount_Applied,Customer_Segment,Sales_Channel
ST0044,VND0002,SAM-QN85,419999,2,TXN000016,11,9,2024,3,TechSpot Ahmedabad,Samsung Electronics,Television,Samsung,0.3,Business,Online
ST0024,VND0030,DEL-XPS13,98399,1,TXN000017,18,1,2023,1,AudioZone Mumbai,Polk Audio,Laptops,Dell,0.18,Professional,In-Store
ST0040,VND0038,SEA-2TB,10198,2,TXN000018,14,3,2024,1,GadgetStore Kochi,Western Digital,Storage,Seagate,0.15,Premium,Online
ST0011,VND0033,REA-11PRO,22499,1,TXN000019,20,7,2024,3,PhonePlanet Indore,Tamron India,Smartphones,Realme,0.25,Fitness,In-Store
ST0036,VND0015,SAM-QN85,839997,4,TXN000020,23,5,2024,2,ElectroShop Lucknow,Xiaomi India,Television,Samsung,0.3,Gaming,In-Store
ST0043,VND0014,WES-4TB,22947,3,TXN000021,24,4,2024,2,DigitalHub Coimbatore,Lenovo India,Storage,WD,0.15,Business,In-Store
ST0029,VND0006,VIV-X90,87998,2,TXN000022,12,10,2022,4,SmartHome Delhi,Canon India,Smartphones,Vivo,0.2,Student,In-Store
ST0015,VND0004,ACE-PH317,213198,2,TXN000023,19,12,2022,4,ProCam Surat,LG Electronics,Gaming Laptops,Acer,0.18,Gaming,In-Store
ST0027,VND0014,LOG-MX3,14398,2,TXN000024,25,8,2024,3,MobileWorld Surat,Lenovo India,Accessories,Logitech,0.1,Professional,In-Store
ST0013,VND0013,COR-K95,11999,1,TXN000025,1,4,2023,2,WearTech Nagpur,TCL India,Accessories,Corsair,0.2,Student,In-Store
ST0023,VND0044,TCL-55C8,74799,1,TXN000026,5,4,2024,2,GraphicsHub Chennai,Zebronics India,Television,TCL,0.12,Premium,Online
ST0017,VND0022,ZEB-ZEB55,15996,5,TXN000027,10,4,2022,2,BudgetTech Nagpur,Harman Kardon,Audio,Zebronics,0.2,Adventure,Online
ST0026,VND0049,PAN-GH6,311998,2,TXN000028,23,1,2023,1,ElectroMax Pune,DJI India,Camera,Panasonic,0.22,Premium,In-Store
ST0014,VND0013,RAZ-BLA17,351998,2,TXN000029,22,3,2023,1,AudioWorld Kochi,TCL India,Gaming Laptops,Razer,0.12,Fitness,Online
ST0033,VND0049,COR-K95,28498,2,TXN000030,22,9,2024,3,ElectronicsBay Kolkata,DJI India,Accessories,Corsair,0.05,Mass Market,In-Store
ST0040,VND0007,SAM-QN85,1229996,5,TXN000031,19,11,2023,4,GadgetStore Kochi,Nikon India,Television,Samsung,0.18,Mass Market,In-Store
ST0050,VND0050,FUJ-XT5,113999,1,TXN000032,27,11,2022,4,TechSphere Kolkata,Oppo India,Camera,Fujifilm,0.05,Business,Online
ST0039,VND0007,POL-PLSBK,25999,2,TXN000033,3,8,2023,3,ElectronicHub Nagpur,Nikon India,Audio,Polk,0.35,Mass Market,Online
ST0050,VND0008,SEA-2TB,5699,1,TXN000034,27,3,2023,1,TechSphere Kolkata,Asus India,Storage,Seagate,0.05,Gaming,In-Store
ST0031,VND0030,PHI-55PUS,279997,5,TXN000035,20,7,2022,3,DigitalStore Chennai,Polk Audio,Television,Philips,0.3,Adventure,In-Store
ST0046,VND0012,SAM-QN85,959997,4,TXN000036,28,1,2024,1,GadgetCrave Delhi,MSI India,Television,Samsung,0.2,Mass Market,Online
ST0011,VND0050,JBL-FLP6,24958,2,TXN000037,23,12,2023,4,PhonePlanet Indore,Oppo India,Audio,JBL,0.22,Premium,In-Store
ST0026,VND0003,LOG-MX3,21597,3,TXN000038,9,1,2024,1,ElectroMax Pune,Sony India,Accessories,Logitech,0.1,Adventure,In-Store
ST0024,VND0042,ZEB-ZEB55,10797,3,TXN000039,17,6,2023,2,AudioZone Mumbai,Jabra India,Audio,Zebronics,0.1,Professional,Online
ST0007,VND0008,APL-IPH14,70199,1,TXN000040,24,12,2024,4,OfficeMax Pune,Asus India,Smartphones,Apple,0.22,Mass Market,In-Store
ST0044,VND0015,MIC-SF8,76499,1,TXN000041,28,7,2022,3,TechSpot Ahmedabad,Xiaomi India,Tablets,Microsoft,0.15,Gaming,In-Store
ST0016,VND0032,JBL-FLP6,39358,3,TXN000042,21,7,2023,3,ConnectStore Vadodara,Garmin India,Audio,JBL,0.18,Student,In-Store
ST0012,VND0029,NIK-Z6III,487498,3,TXN000043,11,7,2023,3,SmartChoice Bhopal,Alienware India,Camera,Nikon,0.35,Student,Online
ST0029,VND0016,SEN-A7IV,134999,1,TXN000044,22,5,2022,2,SmartHome Delhi,Fujifilm India,Camera,Sony,0.25,Gaming,In-Store
ST0029,VND0048,AMD-R7700,83998,3,TXN000045,1,12,2023,4,SmartHome Delhi,Bose India,Processors,AMD,0.3,Adventure,Online
ST0041,VND0041,XIA-MI12,51999,2,TXN000046,10,8,2022,3,TechPlaza Surat,Kinesis India,Smartphones,Xiaomi,0.35,Fitness,In-Store
ST0020,VND0040,SAM-GAL23,53199,1,TXN000047,14,8,2023,3,PeripheralPlus Kochi,Nvidia India,Smartphones,Samsung,0.3,Professional,In-Store
ST0031,VND0018,JBL-FLP6,25598,2,TXN000048,24,7,2023,3,DigitalStore Chennai,Razer India,Audio,JBL,0.2,Gaming,In-Store
ST0017,VND0008,JBL-FLP6,43197,3,TXN000049,27,1,2023,1,BudgetTech Nagpur,Asus India,Audio,JBL,0.1,Gaming,In-Store
ST0015,VND0030,ACE-PH317,103999,1,TXN000050,20,5,2023,2,ProCam Surat,Polk Audio,Gaming Laptops,Acer,0.2,Premium,Online
ST0021,VND0040,SON-WH1000,20499,1,TXN000051,8,7,2024,3,PCWorld Ahmedabad,Nvidia India,Audio,Sony,0.18,Premium,Online
ST0001,VND0043,COR-K95,11999,1,TXN000052,16,7,2023,3,TechWorld Mumbai,Lenovo India,Accessories,Corsair,0.2,Gaming,Online
ST0030,VND0037,PHI-55PUS,111999,2,TXN000053,23,11,2024,4,TechCenter Mumbai,Corsair India,Television,Philips,0.3,Gaming,In-Store
ST0001,VND0033,POL-PLSBK,14999,1,TXN000054,25,9,2022,3,TechWorld Mumbai,Tamron India,Audio,Polk,0.25,Student,In-Store
ST0018,VND0026,POL-PLSBK,50997,3,TXN000055,16,9,2022,3,AudioMart Pune,Huawei India,Audio,Polk,0.15,Mass Market,Online
ST0005,VND0023,APL-IPD11,67999,1,TXN000056,9,7,2023,3,PhotoPro Kolkata,Panasonic India,Tablets,Apple,0.15,Business,Online
ST0028,VND0033,DEL-XPS13,167999,2,TXN000057,4,4,2024,2,DroneHub Bangalore,Tamron India,Laptops,Dell,0.3,Fitness,Online
ST0003,VND0040,MSI-GE76,151999,1,TXN000058,7,1,2022,1,GadgetHub Bangalore,Nvidia India,Gaming Laptops,MSI,0.2,Premium,In-Store
ST0015,VND0021,SAM-TAB8,31499,1,TXN000059,27,1,2023,1,ProCam Surat,Acer India,Tablets,Samsung,0.1,Gaming,In-Store
ST0023,VND0017,MSI-GE76,668796,4,TXN000060,12,1,2024,1,GraphicsHub Chennai,OnePlus India,Gaming Laptops,MSI,0.12,Premium,Online
ST0050,VND0013,APL-IPH14,116999,2,TXN000061,10,5,2023,2,TechSphere Kolkata,TCL India,Smartphones,Apple,0.35,Adventure,In-Store
ST0039,VND0045,GOP-7R,284999,1,TXN000062,4,7,2023,3,ElectronicHub Nagpur,Steam India,Camera,GoPro,0.05,Student,Online
ST0014,VND0035,HUA-P60,57399,1,TXN000063,7,11,2023,4,AudioWorld Kochi,Intel India,Smartphones,Huawei,0.18,Student,Online
ST0006,VND0036,SAM-TAB8,66498,2,TXN000064,28,12,2023,4,GameZone Hyderabad,AMD India,Tablets,Samsung,0.05,Fitness,In-Store
ST0005,VND0023,FUJ-XT5,110399,1,TXN000065,8,3,2022,1,PhotoPro Kolkata,Panasonic India,Camera,Fujifilm,0.08,Premium,In-Store
ST0014,VND0028,APL-IPH14,62999,1,TXN000066,10,3,2023,1,AudioWorld Kochi,Realme India,Smartphones,Apple,0.3,Gaming,In-Store
ST0028,VND0040,POL-PLSBK,31198,2,TXN000067,1,10,2023,4,DroneHub Bangalore,Nvidia India,Audio,Polk,0.22,Business,In-Store
ST0036,VND0023,KIN-K380,2459,1,TXN000068,11,6,2024,2,ElectroShop Lucknow,Panasonic India,Accessories,Kinesis,0.18,Professional,In-Store
ST0006,VND0023,ACE-PH317,84499,1,TXN000069,6,3,2024,1,GameZone Hyderabad,Panasonic India,Gaming Laptops,Acer,0.35,Student,Online
ST0017,VND0030,ASU-ROG17,294398,2,TXN000070,13,1,2024,1,BudgetTech Nagpur,Polk Audio,Gaming Laptops,Asus,0.08,Adventure,Online
ST0025,VND0047,CAN-EOS90,58499,1,TXN000071,1,9,2023,3,SoundMart Kolkata,Nothing India,Camera,Canon,0.35,Premium,Online
ST0035,VND0014,ACE-PH317,331497,3,TXN000072,2,8,2022,3,GadgetGalaxy Jaipur,Lenovo India,Gaming Laptops,Acer,0.15,Professional,In-Store
ST0001,VND0027,GOP-7R,1169996,5,TXN000073,17,2,2023,1,TechWorld Mumbai,LG Electronics,Camera,GoPro,0.22,Fitness,In-Store
ST0014,VND0043,KIN-K380,6748,3,TXN000074,9,11,2023,4,AudioWorld Kochi,Lenovo India,Accessories,Kinesis,0.25,Business,Online
ST0048,VND0041,COR-K95,12749,1,TXN000075,5,2,2022,1,ElectroFlow Chennai,Kinesis India,Accessories,Corsair,0.15,Business,Online
ST0013,VND0003,GOP-7R,764997,3,TXN000076,10,6,2022,2,WearTech Nagpur,Sony India,Camera,GoPro,0.15,Mass Market,Online
ST0010,VND0038,KIN-K380,2549,1,TXN000077,9,5,2024,2,MobileMart Lucknow,Western Digital,Accessories,Kinesis,0.15,Business,In-Store
ST0038,VND0022,PAN-GH6,779996,5,TXN000078,6,8,2023,3,TechMart Bhopal,Harman Kardon,Camera,Panasonic,0.22,Premium,Online
ST0009,VND0023,SAM-GAL23,98799,2,TXN000079,20,7,2023,3,HomeTech Jaipur,Panasonic India,Smartphones,Samsung,0.35,Professional,Online
ST0013,VND0011,SEN-A7IV,116999,1,TXN000080,14,6,2024,2,WearTech Nagpur,Sony India,Camera,Sony,0.35,Mass Market,Online
ST0049,VND0021,FUJ-XT5,389997,5,TXN000081,11,10,2023,4,DigitalEdge Hyderabad,Acer India,Camera,Fujifilm,0.35,Fitness,In-Store
ST0039,VND0039,SAM-TAB8,22749,1,TXN000082,15,8,2023,3,ElectronicHub Nagpur,Seagate India,Tablets,Samsung,0.35,Fitness,Online
ST0021,VND0025,APL-AW9,33749,1,TXN000083,10,4,2023,2,PCWorld Ahmedabad,Microsoft India,Wearables,Apple,0.25,Premium,Online
ST0007,VND0003,ASU-ROG17,147199,1,TXN000084,27,5,2022,2,OfficeMax Pune,Sony India,Gaming Laptops,Asus,0.08,Professional,Online
ST0022,VND0020,SEN-A7IV,475197,3,TXN000085,9,3,2024,1,DataStore Bangalore,JBL India,Camera,Sony,0.12,Premium,In-Store
ST0029,VND0035,GAR-WTC6,87497,5,TXN000086,12,9,2023,3,SmartHome Delhi,Intel India,Wearables,Garmin,0.3,Adventure,In-Store
ST0036,VND0032,INT-I712K,67499,2,TXN000087,18,1,2024,1,ElectroShop Lucknow,Garmin India,Processors,Intel,0.25,Student,Online
ST0045,VND0030,KIN-K380,8277,3,TXN000088,23,7,2023,3,ElectroVibe Mumbai,Polk Audio,Accessories,Kinesis,0.08,Student,In-Store
ST0017,VND0001,LEN-T14,65999,1,TXN000089,7,3,2023,1,BudgetTech Nagpur,Apple Store Partner,Laptops,Lenovo,0.12,Gaming,In-Store
ST0032,VND0014,GAR-WTC6,43998,2,TXN000090,13,6,2023,2,CyberMart Hyderabad,Lenovo India,Wearables,Garmin,0.12,Mass Market,Online
ST0016,VND0015,LG-GRAM17,424996,5,TXN000091,22,7,2022,3,ConnectStore Vadodara,Xiaomi India,Laptops,LG,0.15,Gaming,In-Store
ST0014,VND0038,NVI-RTX40,125999,2,TXN000092,6,2,2022,1,AudioWorld Kochi,Western Digital,Graphics Cards,Nvidia,0.3,Student,In-Store
ST0034,VND0049,PHI-55PUS,339996,5,TXN000093,12,12,2024,4,TechSavvy Pune,DJI India,Television,Philips,0.15,Mass Market,Online
ST0038,VND0041,GAR-WTC6,22499,1,TXN000094,3,3,2022,1,TechMart Bhopal,Kinesis India,Wearables,Garmin,0.1,Premium,Online
ST0049,VND0003,APL-IPH14,82799,1,TXN000095,23,4,2022,2,DigitalEdge Hyderabad,Sony India,Smartphones,Apple,0.08,Adventure,Online
ST0013,VND0024,TCL-55C8,216747,3,TXN000096,7,7,2023,3,WearTech Nagpur,GoPro India,Television,TCL,0.15,Business,In-Store
ST0021,VND0047,SAM-QN85,239999,1,TXN000097,3,8,2023,3,PCWorld Ahmedabad,Nothing India,Television,Samsung,0.2,Adventure,Online
ST0045,VND0025,BOH-QC45,26399,1,TXN000098,25,5,2024,2,ElectroVibe Mumbai,Microsoft India,Audio,Bose,0.12,Mass Market,Online
ST0027,VND0026,TCL-55C8,348496,5,TXN000099,27,4,2023,2,MobileWorld Surat,Huawei India,Television,TCL,0.18,Gaming,In-Store
ST0026,VND0013,SAM-TAB8,122496,5,TXN000100,8,11,2024,4,ElectroMax Pune,TCL India,Tablets,Samsung,0.3,Adventure,Online
ST0001,VND0007,NIK-Z6III,162499,1,TXN000101,17,11,2023,4,TechWorld Mumbai,Nikon India,Camera,Nikon,0.35,Student,Online
ST0035,VND0029,TAM-2870,62999,1,TXN000102,28,4,2023,2,GadgetGalaxy Jaipur,Alienware India,Camera,Tamron,0.3,Premium,Online
ST0036,VND0047,AMD-R7700,59999,2,TXN000103,24,6,2024,2,ElectroShop Lucknow,Nothing India,Processors,AMD,0.25,Adventure,Online
ST0010,VND0019,KIN-K380,2339,1,TXN000104,13,6,2023,2,MobileMart Lucknow,Vivo India,Accessories,Kinesis,0.22,Mass Market,Online
ST0015,VND0008,ASU-ROG17,281598,2,TXN000105,14,11,2023,4,ProCam Surat,Asus India,Gaming Laptops,Asus,0.12,Student,In-Store
ST0036,VND0045,PAN-GH6,189999,1,TXN000106,7,4,2022,2,ElectroShop Lucknow,Steam India,Camera,Panasonic,0.05,Student,Online
ST0005,VND0034,ASU-ROG17,759995,5,TXN000107,17,6,2024,2,PhotoPro Kolkata,Logitech India,Gaming Laptops,Asus,0.05,Gaming,In-Store
ST0034,VND0039,FUJ-XT5,83999,1,TXN000108,22,4,2022,2,TechSavvy Pune,Seagate India,Camera,Fujifilm,0.3,Gaming,In-Store
ST0032,VND0044,ZEB-ZEB55,3679,1,TXN000109,25,8,2023,3,CyberMart Hyderabad,Zebronics India,Audio,Zebronics,0.08,Student,Online
ST0033,VND0007,JAB-75T,12349,1,TXN000110,8,8,2023,3,ElectronicsBay Kolkata,Nikon India,Audio,Jabra,0.05,Gaming,Online
ST0042,VND0028,THI-X1C9,255998,2,TXN000111,15,10,2022,4,ElectroCenter Vadodara,Realme India,Laptops,ThinkPad,0.2,Adventure,In-Store
ST0028,VND0040,NIK-Z6III,439998,2,TXN000112,7,4,2024,2,DroneHub Bangalore,Nvidia India,Camera,Nikon,0.12,Student,Online
ST0011,VND0004,POL-PLSBK,14999,1,TXN000113,22,9,2023,3,PhonePlanet Indore,LG Electronics,Audio,Polk,0.25,Gaming,Online
ST0003,VND0041,GAR-WTC6,22999,1,TXN000114,16,6,2023,2,GadgetHub Bangalore,Kinesis India,Wearables,Garmin,0.08,Adventure,In-Store
ST0006,VND0029,HP-PAV15,85798,2,TXN000115,7,12,2024,4,GameZone Hyderabad,Alienware India,Laptops,HP,0.22,Premium,In-Store
ST0028,VND0021,SAM-GAL23,136798,2,TXN000116,5,11,2023,4,DroneHub Bangalore,Acer India,Smartphones,Samsung,0.1,Student,Online
ST0037,VND0039,LEN-T14,61499,1,TXN000117,19,9,2023,3,DigitalWorld Indore,Seagate India,Laptops,Lenovo,0.18,Adventure,Online
ST0014,VND0023,RAZ-BLA17,169999,1,TXN000118,6,11,2023,4,AudioWorld Kochi,Panasonic India,Gaming Laptops,Razer,0.15,Premium,In-Store
ST0045,VND0029,SAM-QN85,245999,1,TXN000119,1,5,2024,2,ElectroVibe Mumbai,Alienware India,Television,Samsung,0.18,Mass Market,In-Store
ST0045,VND0006,INT-I712K,168746,5,TXN000120,25,5,2023,2,ElectroVibe Mumbai,Canon India,Processors,Intel,0.25,Business,In-Store
ST0013,VND0034,LG-GRAM17,89999,1,TXN000121,14,5,2024,2,WearTech Nagpur,Logitech India,Laptops,LG,0.1,Adventure,In-Store
ST0020,VND0010,ASU-ROG17,255998,2,TXN000122,26,7,2024,3,PeripheralPlus Kochi,Dell India,Gaming Laptops,Asus,0.2,Business,In-Store
ST0034,VND0009,SAM-TAB8,27999,1,TXN000123,5,10,2024,4,TechSavvy Pune,Bose India,Tablets,Samsung,0.2,Gaming,Online
ST0030,VND0031,FUJ-XT5,89999,1,TXN000124,2,11,2024,4,TechCenter Mumbai,Samsung Electronics,Camera,Fujifilm,0.25,Student,Online
ST0037,VND0014,XIA-MI12,151996,4,TXN000125,20,1,2024,1,DigitalWorld Indore,Lenovo India,Smartphones,Xiaomi,0.05,Adventure,In-Store
ST0034,VND0012,SAM-TAB8,157496,5,TXN000126,1,12,2022,4,TechSavvy Pune,MSI India,Tablets,Samsung,0.1,Business,Online
ST0049,VND0048,GOP-7R,245999,1,TXN000127,9,7,2024,3,DigitalEdge Hyderabad,Bose India,Camera,GoPro,0.18,Fitness,Online
ST0021,VND0005,APL-AW9,85498,2,TXN000128,27,10,2022,4,PCWorld Ahmedabad,HP India,Wearables,Apple,0.05,Student,Online
ST0002,VND0016,STE-DECK,87998,2,TXN000129,7,6,2023,2,ElectroMart Delhi,Fujifilm India,Gaming Console,Steam,0.12,Gaming,In-Store
ST0046,VND0006,PHI-55PUS,67999,1,TXN000130,16,2,2023,1,GadgetCrave Delhi,Canon India,Television,Philips,0.15,Student,Online
ST0017,VND0027,REA-11PRO,55198,2,TXN000131,18,11,2024,4,BudgetTech Nagpur,LG Electronics,Smartphones,Realme,0.08,Adventure,Online
ST0020,VND0032,ASU-ROG17,103999,1,TXN000132,5,6,2022,2,PeripheralPlus Kochi,Garmin India,Gaming Laptops,Asus,0.35,Gaming,Online
ST0007,VND0003,APL-AW9,85498,2,TXN000133,10,10,2024,4,OfficeMax Pune,Sony India,Wearables,Apple,0.05,Student,Online
ST0036,VND0026,SEN-A7IV,611997,4,TXN000134,28,1,2024,1,ElectroShop Lucknow,Huawei India,Camera,Sony,0.15,Adventure,In-Store
ST0009,VND0043,FUJ-XT5,335997,4,TXN000135,4,3,2022,1,HomeTech Jaipur,Lenovo India,Camera,Fujifilm,0.3,Professional,Online
ST0011,VND0041,SEN-A7IV,116999,1,TXN000136,5,7,2023,3,PhonePlanet Indore,Kinesis India,Camera,Sony,0.35,Mass Market,In-Store
ST0040,VND0043,NVI-RTX40,165598,2,TXN000137,8,10,2023,4,GadgetStore Kochi,Lenovo India,Graphics Cards,Nvidia,0.08,Gaming,Online
ST0037,VND0002,LEN-T14,48749,1,TXN000138,11,3,2023,1,DigitalWorld Indore,Samsung Electronics,Laptops,Lenovo,0.35,Mass Market,Online
ST0028,VND0013,ACE-PH317,110499,1,TXN000139,15,12,2022,4,DroneHub Bangalore,TCL India,Gaming Laptops,Acer,0.15,Mass Market,Online
ST0034,VND0021,APL-IPH14,76499,1,TXN000140,17,9,2022,3,TechSavvy Pune,Acer India,Smartphones,Apple,0.15,Adventure,In-Store
ST0040,VND0019,RAZ-BLA17,367998,2,TXN000141,7,1,2022,1,GadgetStore Kochi,Vivo India,Gaming Laptops,Razer,0.08,Fitness,In-Store
ST0035,VND0032,HP-PAV15,96798,2,TXN000142,28,9,2023,3,GadgetGalaxy Jaipur,Garmin India,Laptops,HP,0.12,Student,Online
ST0039,VND0014,TAM-2870,147598,2,TXN000143,13,4,2024,2,ElectronicHub Nagpur,Lenovo India,Camera,Tamron,0.18,Business,In-Store
ST0040,VND0034,BOH-QC45,28499,1,TXN000144,14,9,2022,3,GadgetStore Kochi,Logitech India,Audio,Bose,0.05,Premium,Online
ST0004,VND0031,ONE-11R,43999,1,TXN000145,3,4,2022,2,CompuZone Chennai,Samsung Electronics,Smartphones,OnePlus,0.12,Professional,Online
ST0030,VND0029,SAM-GAL23,56999,1,TXN000146,16,12,2023,4,TechCenter Mumbai,Alienware India,Smartphones,Samsung,0.25,Student,Online
ST0036,VND0035,NVI-RTX40,202498,3,TXN000147,21,7,2023,3,ElectroShop Lucknow,Intel India,Graphics Cards,Nvidia,0.25,Professional,In-Store
ST0041,VND0047,NVI-RTX40,292497,5,TXN000148,7,5,2023,2,TechPlaza Surat,Nothing India,Graphics Cards,Nvidia,0.35,Fitness,In-Store
ST0009,VND0017,CAN-EOS90,413995,5,TXN000149,27,7,2023,3,HomeTech Jaipur,OnePlus India,Camera,Canon,0.08,Premium,In-Store
ST0024,VND0018,PAN-GH6,183999,1,TXN000150,17,11,2022,4,AudioZone Mumbai,Razer India,Camera,Panasonic,0.08,Fitness,Online
ST0005,VND0008,VIV-X90,192497,5,TXN000151,3,5,2022,2,PhotoPro Kolkata,Asus India,Smartphones,Vivo,0.3,Student,In-Store
ST0022,VND0045,ALI-M15,90999,2,TXN000152,13,2,2024,1,DataStore Bangalore,Steam India,Gaming Laptops,Alienware,0.3,Student,Online
ST0013,VND0026,HUA-P60,199497,3,TXN000153,21,8,2024,3,WearTech Nagpur,Huawei India,Smartphones,Huawei,0.05,Gaming,Online
ST0044,VND0007,LG-OLED55,479998,3,TXN000154,10,4,2023,2,TechSpot Ahmedabad,Nikon India,Television,LG,0.2,Adventure,In-Store
ST0017,VND0022,DEL-XPS13,101999,1,TXN000155,9,11,2024,4,BudgetTech Nagpur,Harman Kardon,Laptops,Dell,0.15,Business,In-Store
ST0034,VND0048,STE-DECK,37499,1,TXN000156,18,1,2022,1,TechSavvy Pune,Bose India,Gaming Console,Steam,0.25,Gaming,Online
ST0009,VND0044,AMD-R7700,29999,1,TXN000157,4,12,2023,4,HomeTech Jaipur,Zebronics India,Processors,AMD,0.25,Professional,Online
ST0039,VND0047,POL-PLSBK,50997,3,TXN000158,3,9,2024,3,ElectronicHub Nagpur,Nothing India,Audio,Polk,0.15,Business,Online
ST0047,VND0002,MSI-GE76,311598,2,TXN000159,25,4,2023,2,TechFusion Bangalore,Samsung Electronics,Gaming Laptops,MSI,0.18,Fitness,In-Store
ST0007,VND0013,FUJ-XT5,509996,5,TXN000160,8,9,2024,3,OfficeMax Pune,TCL India,Camera,Fujifilm,0.15,Mass Market,In-Store
ST0008,VND0018,ONE-11R,47499,1,TXN000161,10,6,2022,2,iStore Ahmedabad,Razer India,Smartphones,OnePlus,0.05,Professional,In-Store
ST0044,VND0003,KIN-K380,2459,1,TXN000162,7,3,2023,1,TechSpot Ahmedabad,Sony India,Accessories,Kinesis,0.18,Business,Online
ST0034,VND0010,JAB-75T,10399,1,TXN000163,14,9,2023,3,TechSavvy Pune,Dell India,Audio,Jabra,0.2,Fitness,In-Store
ST0033,VND0001,WES-4TB,15838,2,TXN000164,15,1,2022,1,ElectronicsBay Kolkata,Apple Store Partner,Storage,WD,0.12,Business,Online
ST0001,VND0003,APL-MBA13,389997,4,TXN000165,8,7,2023,3,TechWorld Mumbai,Sony India,Laptops,Apple,0.25,Gaming,In-Store
ST0010,VND0040,INT-I712K,29249,1,TXN000166,11,6,2024,2,MobileMart Lucknow,Nvidia India,Processors,Intel,0.35,Professional,In-Store
ST0022,VND0006,LEN-T14,59999,1,TXN000167,12,9,2023,3,DataStore Bangalore,Canon India,Laptops,Lenovo,0.2,Mass Market,Online
ST0020,VND0037,APL-IPH14,158398,2,TXN000168,13,10,2023,4,PeripheralPlus Kochi,Corsair India,Smartphones,Apple,0.12,Business,In-Store
ST0004,VND0029,COR-K95,14249,1,TXN000169,11,8,2022,3,CompuZone Chennai,Alienware India,Accessories,Corsair,0.05,Business,In-Store
ST0015,VND0037,XIA-MI12,29999,1,TXN000170,28,1,2024,1,ProCam Surat,Corsair India,Smartphones,Xiaomi,0.25,Adventure,Online
ST0016,VND0013,AMD-R7700,98398,3,TXN000171,5,12,2024,4,ConnectStore Vadodara,TCL India,Processors,AMD,0.18,Adventure,In-Store
ST0049,VND0028,REA-11PRO,119996,5,TXN000172,18,7,2024,3,DigitalEdge Hyderabad,Realme India,Smartphones,Realme,0.2,Business,In-Store
ST0015,VND0008,XIA-MI12,33999,1,TXN000173,18,10,2024,4,ProCam Surat,Asus India,Smartphones,Xiaomi,0.15,Business,Online
ST0001,VND0044,PHI-55PUS,131198,2,TXN000174,15,11,2022,4,TechWorld Mumbai,Zebronics India,Television,Philips,0.18,Premium,Online
ST0037,VND0017,POL-PLSBK,67997,4,TXN000175,13,2,2024,1,DigitalWorld Indore,OnePlus India,Audio,Polk,0.15,Fitness,In-Store
ST0035,VND0029,BOH-QC45,83997,4,TXN000176,12,4,2022,2,GadgetGalaxy Jaipur,Alienware India,Audio,Bose,0.3,Professional,In-Store
ST0044,VND0006,NIK-Z6III,204999,1,TXN000177,11,12,2023,4,TechSpot Ahmedabad,Canon India,Camera,Nikon,0.18,Professional,Online
